tick_index,liquidity_net,liquidity_gross
-887220,1430197150522774041596,1430197150522774041596
-138180,11899009282092380190,11899009282092380190
-92100,3396795668597142684,3396795668597142684
-74100,11937887416156827,11937887416156827
-71280,275769834487025322209,275769834487025322209
-70740,6069726576598337,6069726576598337
-69600,391504767271038232804,391504767271038232804
-69060,170664634485873714213,170664634485873714213
-66360,448398335129588245207,448398335129588245207
-65940,1002418765653509,1002418765653509
-65580,425911200542462156617,425911200542462156617
-65520,42406379348915729,42406379348915729
-65040,61212300311004701153,61212300311004701153
-64920,14570205587349441380,14570205587349441380
-64860,842606642774976842,842606642774976842
-64740,6662385396693913,6662385396693913
-63960,16305611726486949272,16305611726486949272
-63660,901958884621048142,901958884621048142
-63540,137118254714340889,137118254714340889
-63060,39029783690947203723,39029783690947203723
-62760,209966178534414,209966178534414
-62640,13098640670420431614,13098640670420431614
-62520,1323592610230057116,1323592610230057116
-62400,184312536230547914581,184312536230547914581
-62340,45366909348199534,45366909348199534
-62280,109277898122891168736,109277898122891168736
-62160,107940568539677655272,107940568539677655272
-62100,727062484712924913,727062484712924913
-62040,69435999745956552871,69435999745956552871
-61980,251006280612443937,251006280612443937
-61920,104036822686776164957,104036822686776164957
-61860,2599539544689087067,2599539544689087067
-61800,35183885730999650177,35183885730999650177
-61740,8355280400248351546,8355280400248351546
-61680,52832466057998187,52832466057998187
-61620,2470949814281330974,2470949814281330974
-61560,608829278896888370003,608829278896888370003
-61500,8234575086506883876,8234575086506883876
-61440,28890770072567963755,28890770072567963755
-61380,27103692287208827858,27103692287208827858
-61320,458057608808139932945,458057608808139932945
-61260,77252451247863903765,77252451247863903765
-61200,13556698041179700267,13556698041179700267
-61140,13777521055229231564,13777521055229231564
-61020,3333227602575200885,3333227602575200885
-60960,401541326698714750,401541326698714750
-60900,2415243743803181704,2415243743803181704
-60840,48173146652895502017,48173146652895502017
-60780,410612714382158097446,410612714382158097446
-60720,1161391157730884,1161391157730884
-60660,16575962661352781351,16575962661352781351
-60600,4121369911058637402,4127098140314504364
-60540,6632053431951773498,6632053431951773498
-60480,2352158123426105256,2352158123426105256
-60420,24686913677653314,24686913677653314
-60300,86731080847947529019,86731080847947529019
-60240,2401044204397342377,2401044204397342377
-60180,332446837746671990691,332446837746671990691
-60120,20785308632673520,20785308632673520
-60060,23030612029129570,23030612029129570
-60000,19507476336207400096,19507476336207400096
-59940,711146138279259972001,711146138279259972001
-59880,399453343385657358196,399453343385657358196
-59820,138269119107691161924,138269119107691161924
-59760,60834285698459362026,60834285698459362026
-59700,3818993040388081071,3818993040388081071
-59640,72820288063663870370,72820288063663870370
-59580,6985557430492972950,6985557430492972950
-59520,43807592457321036722,43807592457321036722
-59460,10245187692086702918,10245187692086702918
-59400,11999832618369949352,11999832618369949352
-59340,32929098130422882359,32929098130422882359
-59220,161901197665864772107,161901197665864772107
-59160,181392750413656320426,181392750413656320426
-59100,65225443494397677861,65225443494397677861
-59040,251654908105909011580,251654908105909011580
-58980,25713707808966300791453,25713707808966300791453
-58920,22590518292591137,22590518292591137
-58860,560397275356350255801,560397275356350255801
-58800,300864426200301985640,300864426200301985640
-58740,53538760815710165170,53538760815710165170
-58680,10804822422373691234,10804822422373691234
-58620,3664643017815733862,3664643017815733862
-58560,61427360294174649810,61427360294174649810
-58500,33530431386213579064,33530431386213579064
-58440,25770435397171406204,25770435397171406204
-58380,126489418526708332,126489418526708332
-58320,533684322457653172239,533684322457653172239
-58260,47618972644240520102,62747533509998091728
-58200,-2515482663724731403,41661130204066529009
-58140,885536323276658000440,920723737002644341658
-58080,737838220284050516717,759760263997008553541
-58020,12658250145675936792,12658250145675936792
-57960,5627580236365597721,5627580236365597721
-57840,20466743099943114270,20466743099943114270
-57780,1406134988810105400,1406134988810105400
-57720,101279476164050323973,101279476164050323973
-57660,2198864023630734777,2198864023630734777
-57600,4952772162114323123,4952772162114323123
-57540,19572041864499849563,19572041864499849563
-57480,698331032921770395033,698331032921770395033
-57420,4705252836412558731378,4705252836412558731378
-57360,236873973899833239135,236873973899833239135
-57300,405558505685621417580,405558505685621417580
-57180,456736603206068748327,458212868114239842571
-57120,1655821911259062200947,1679089397090118601569
-57060,1472952693586967610621,1478439255574636221977
-57000,1738665493119333651622,1738665493119333651622
-56940,157692677015509863425,159776316763246942367
-56820,1148032711154176667456,1154993673494778178814
-56760,78269863270087042371,78269863270087042371
-56700,17291480430129245209,17291480430129245209
-56640,509279373763041038622,509279373763041038622
-56580,12910831725062056205783,12911597329051048586705
-56520,146554347422105698628,146554347422105698628
-56460,164697851078515097570,164697851078515097570
-56400,293304034479146207443,303601820498703084349
-56340,1093040789492863880137,1093040789492863880137
-56280,556282380287392301192,556282380287392301192
-56160,3179048778776624300990,3186210382758339561326
-56100,4741290717971823000595,4741290717971823000595
-56040,462270978972630360261275,462270978972630360261275
-55980,3664175876541057951943,3665462491287496805969
-55920,10308294539248611963,10308294539248611963
-55860,89010054816193635895,89578926066563832033
-55800,623715516407993850040,623715516407993877420
-55740,13025415718334461838046,13025415718334461838046
-55680,8440147199011071214847,8440836804833576474611
-55620,2848589331175269826329,2848589331175269826329
-55560,3349901330023345021621,3354353766773167633793
-55500,961968351235350168644,961968351235350214432
-55440,42867891042355691289182,42873128530525132904980
-55380,898266748888740431153,898266748888740456291
-55320,485343907267873860511,485350746507309813141
-55260,263359308202304515390,349184472654549652640
-55200,20986640021363059923767,20987291351039916945335
-55140,187394765290785596237089,187394765290785596237089
-55080,2086784801556615251936,2086784801556615259960
-55020,8485695650202395197985,8557883560277368125365
-54960,1809697558381215990810,1809697558381215990810
-54900,2871761764015888820539,2871761764015888820539
-54840,9732967892266402956717,9732967981486250847655
-54780,38310780553551840675692,38311145055708395690430
-54720,440930913846111002093720,440930913846111002105790
-54660,-3862263544791036873310,5023107406958383019874
-54600,336844058341794253145,336845937682825909371
-54540,3277783107232063215269,3867071060655765783445
-54480,1856259541814420541869,1858405884319188741149
-54420,13876023635880176680514,15894229757421374193344
-54360,-8931985326135142807737,20264924226988256348485
-54300,-342495488232413465223,345786245621848340461
-54240,3715739298334022578260,3715739298334022578260
-54180,-2789107933088253964906,3603929139391987655236
-54120,-6537344705532059891,37898757676585537675
-54060,-8320133133469655981155,22290869656756871226027
-54000,-9490091351019167788667,9490091351019167788667
-53940,-110776372523907966817,303405780586672145495
-53880,-426953073587955559414917,427698084703853523941349
-53820,-195638468638761776109190,195638468638761776109190
-53760,-9447781564504992537785,9723089440068714555247
-53700,-1640894725195460322853,1675989610373859054773
-53640,-929422377521012991083,1404021338382967128959
-53580,-202902350027041310496,207816472029112155440
-53520,362978599698863877917,1242702869715025501493
-53460,-7131956378704481816431,7471939518616941768565
-53400,-40616144693023499531199,41726349174220826219259
-53340,-465387574461343718231982,466159509790399452694782
-53280,277561061404588461815,976300972803373230911
-53220,-31818927318720781405081,32623172458048658122861
-53160,-3133565294532205185507,3284803248244585514661
-53100,-311654692336676647428,526701007985933326166
-53040,-22939472626596038809,129374514788929843387
-52980,-348842199486105349833,814959123894770735363
-52920,-13544867527006192852490,13546543572722200967790
-52860,-8759907663850861950731,8819707833982989624541
-52800,482831735862665609931,515550875927780394249
-52740,4173340428139750341880,4756362752343529276558
-52680,-453665156084345601162,514175354930367226628
-52620,-830990439573654233480,1138696945379854281868
-52560,-10248139806459693625955,10322140770986130373037
-52500,701063676447814754731,2326298898029195217017
-52440,-4245833841913032447307,4444410051044275422257
-52380,-4011279124589837111,40716458487568748829
-52320,2273340053647526340121,2508977538753621714507
-52260,1629448198025161977859,1634690451194711611637
-52200,-865956128243466884192,2115612814731714600712
-52140,1482699562018245377692,1483022220315047502854
-52080,86490376603698928123402,92382966144157674656728
-52020,-156900936738653979000,156900936738653979000
-51960,-494780004435714841712,526179649436191878132
-51900,1048200456066947169849,1282403861950539602103
-51840,-219028591466120897901,219028591466120897901
-51780,-1648534023172010941043,178064094928619221294207
-51720,-1419232946180217468912,1438066929617482087094
-51660,87444399776094437115723,87800543844900252564629
-51600,4436435758819114202,4436435758819114202
-51540,-1052590032303540842849,1052590032303540842849
-51480,-47416581674696722436628,136077123630619320362458
-51420,-3274868152994460956430,5656202612251665741664
-51360,-1363345410975204946014,173955684758820208532316
-51300,-978731082437092965823,988449821592733431015
-51240,-121865383503288242700,235079799551127659566
-51180,-13373138114966223243311,99180143038868142685135
-51120,1272972604928653955244,1848706938887596546938
-51060,-1206807332953744640302,171357768895729019362656
-51000,-43564673640722250740828,43574553187413697560158
-50940,-219546434639242937485,273136797540429755977
-50880,-188838813575505300026,212846149743570879256
-50820,-399159479138734369512,721914756832034251306
-50760,4721304240263853020333,175354123504347526044173
-50700,104113581146799505455,235924542230605281671
-50640,-82411209619076484016732,85861791177584054580108
-50580,-331296571745366159862,331491173225579676608
-50520,144793971698827362313,154673518514893166553
-50460,-145078191793376960355,225407358578540743495
-50400,-75515412445903704837,75515412445903704837
-50340,-6053211481621762972255,6802670745767594887441
-50220,-734419467920071705488,811940185012440355174
-50160,-292556659575593718302,292556659575593718302
-50100,134800271954557924714,455956210521026914390
-50040,1552028992297106044798,1642623048768598533244
-49980,-3467805241403663491232,3575186401200916934546
-49920,-72464019232112668027,829570700826505568407
-49860,-163433883733027655703,163433883733027655703
-49800,737783313378941842575,893960531432460212145
-49740,-69668915384847912194,91115148802636478108
-49680,-891410771454187607231,893201481621585379821
-49620,1761413663429637628804,2898650828148649002374
-49560,40110611233153969199998,40124431640622594529088
-49500,248503158286623284516,248503158286623284516
-49440,-1206937965152187381528,1280852906032399527006
-49380,-39584232158209039708970,39584232158209039708970
-49320,-404225169977230123638,404225169977230123638
-49260,-971030382769861093593,971330804069199529253
